case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,coordX,coordY,typed_word,screenshot,concept:name,event_src_path,event_dest_path,clipboard_content,xpath,xpath_full,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:15.513,Instalador,Keyboard,Mozilla Firefox,,,eltiempo,screenshots\2023-11-08_13-01-27\11_fb21ca60_2023-11-08_13-02-15.png,keypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:17.814,Instalador,MouseClick,"El Tiempo en Sevilla, Sevilla - 14 días — Mozilla Firefox",178.0,28.0,,screenshots\2023-11-08_13-01-27\12_d2a8c3d2_2023-11-08_13-02-17.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:19.543,Instalador,MouseClick,Recibidos (9.312) - mgrmanu10@gmail.com - Gmail — Mozilla Firefox,118.0,251.0,,screenshots\2023-11-08_13-01-27\13_07195147_2023-11-08_13-02-19.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:21.029,Instalador,MouseClick,Recibidos (9.312) - mgrmanu10@gmail.com - Gmail — Mozilla Firefox,1289.0,447.0,,screenshots\2023-11-08_13-01-27\14_c406469c_2023-11-08_13-02-20.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:24.453,Instalador,Keyboard,Recibidos (9.312) - mgrmanu10@gmail.com - Gmail — Mozilla Firefox,,,ant,screenshots\2023-11-08_13-01-27\15_c292aa31_2023-11-08_13-02-24.png,keypress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:25.900,Instalador,MouseClick,Recibidos (9.312) - mgrmanu10@gmail.com - Gmail — Mozilla Firefox,1318.0,496.0,,screenshots\2023-11-08_13-01-27\16_6d45debf_2023-11-08_13-02-25.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:29.259,Instalador,MouseClick,Recibidos (9.312) - mgrmanu10@gmail.com - Gmail — Mozilla Firefox,495.0,29.0,,screenshots\2023-11-08_13-01-27\17_8a983e84_2023-11-08_13-02-29.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:34.617,Instalador,MouseClick,Real Betis - Últimas noticias del Real Betis Balompié — Mozilla Firefox,597.0,29.0,,screenshots\2023-11-08_13-01-27\18_84dfb577_2023-11-08_13-02-34.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108130130413000,SmartRPA by marco2012,complete,2023-11-08T13:02:35.930,Instalador,MouseClick,"El Tiempo en Sevilla, Sevilla - 14 días — Mozilla Firefox",597.0,29.0,,screenshots\2023-11-08_13-01-27\19_5ec60296_2023-11-08_13-02-35.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:47.782,Instalador,MouseClick,covid_entry_point,1896,20,,screenshots\2023-11-08_12-35-12\13_cc0f637e_2023-11-08_12-35-47.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
