case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,coordX,coordY,typed_word,screenshot,concept:name,event_src_path,event_dest_path,clipboard_content,xpath,xpath_full,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:16.017,Instalador,MouseClick,SmartRPA,1776,30,,screenshots\2023-11-08_12-35-12\1_582b644a_2023-11-08_12-35-15.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:18.354,Instalador,MouseClick,SmartRPA,147,526,,screenshots\2023-11-08_12-35-12\2_21653baa_2023-11-08_12-35-18.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:18.608,Instalador,MouseClick,Program Manager,147,526,,screenshots\2023-11-08_12-35-12\3_22c9e8cf_2023-11-08_12-35-18.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:23.055,Instalador,MouseClick,resources,376,167,,screenshots\2023-11-08_12-35-12\4_cdc9a937_2023-11-08_12-35-23.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:23.243,Instalador,MouseClick,resources,376,167,,screenshots\2023-11-08_12-35-12\5_87cdae24_2023-11-08_12-35-23.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:25.999,Instalador,MouseClick,ComparingWebEye,386,195,,screenshots\2023-11-08_12-35-12\6_0e2f6ddc_2023-11-08_12-35-25.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:26.180,Instalador,MouseClick,ComparingWebEye,386,195,,screenshots\2023-11-08_12-35-12\7_a2b76b1a_2023-11-08_12-35-26.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:27.765,Instalador,MouseClick,datos_necesarios_experimento,389,168,,screenshots\2023-11-08_12-35-12\8_dfe25351_2023-11-08_12-35-27.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:27.987,Instalador,MouseClick,datos_necesarios_experimento,389,168,,screenshots\2023-11-08_12-35-12\9_5b51aee9_2023-11-08_12-35-27.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:28.841,Instalador,MouseClick,covid_entry_point,389,168,,screenshots\2023-11-08_12-35-12\10_ab49a924_2023-11-08_12-35-28.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:29.052,Instalador,MouseClick,covid_entry_point,389,168,,screenshots\2023-11-08_12-35-12\11_48c03613_2023-11-08_12-35-29.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:44.618,Instalador,MouseClick,covid_certificate (1).pdf - Adobe Acrobat Reader (64-bit),1897,21,,screenshots\2023-11-08_12-35-12\12_3d91e491_2023-11-08_12-35-44.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108123516017000,SmartRPA by marco2012,complete,2023-11-08T12:35:47.782,Instalador,MouseClick,covid_entry_point,1896,20,,screenshots\2023-11-08_12-35-12\13_cc0f637e_2023-11-08_12-35-47.png,click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
